世帯番号,パターン,世帯人数,住所_町字,検証観点
100,三世代同居,5,中央一丁目,世帯一覧の記載順位・続柄表記の多様性（世帯主／妻／母／子）・世帯員が多い場合の帳票レイアウト
200,夫婦のみ（高齢）,2,中央二丁目,後期高齢者医療・介護資格を持つ2人世帯。資格系カラムの出力確認
300,単身（転入あり・転入前住所パターンA）,1,北一丁目,転入前住所を都道府県／市区郡町村名／町字／番地号表記に分割して保持するパターン。方書ありの住所表示
400,子育て世帯（未成年2人）,4,南一丁目,児童手当資格区分・受給開始年月。未成年を含む世帯の帳票転記
500,死亡者を含む世帯（care 検証用）,3,南二丁目,住民状態=3（死亡者）と消除の事由・消除の届出／異動年月日・除票フラグ。おくやみ手続きで遺族と故人を同一世帯に並べる画面
600,転出済み世帯（move 検証用）,2,東一丁目,住民状態=2（転出者）と転出届出／転出予定／転出年月日（確定）・転出先住所（確定）一式・除票フラグ
700,外国人住民世帯,2,中央三丁目,住民種別=2。氏名_外国人ローマ字・国籍名等・在留資格等コード・在留期間・第30条45規定区分。本籍を持たないレコードの帳票表示
800,ひとり親世帯,2,中央一丁目,世帯主が女性・世帯員が子1人のみ。児童手当の受給者が世帯主であるケース
900,単身高齢者（成年被後見人）,1,中央二丁目,成年被後見人_該当有無=1。単身世帯かつ選挙人名簿登録の扱いを確認する行
1000,同居人・縁故者を含む世帯（生年月日不詳を含む）,4,北一丁目,続柄コード74（弟）・96（縁故者）・99（同居人）。生年月日_不詳フラグ=1 のレコードの日付検索・帳票表示
1100,転出予定（届出済・未確定）＋転入前住所パターンB,1,南一丁目,転出届出済みだが転出年月日（確定）が空のレコード。転入前住所を町字カラムに一括記載するパターンBの表示
